text,trans,type
W.I.N.G.編,Глава W.I.N.G.,
283プロダクション ファン感謝祭編,Глава благодарности фанатам 283 Production,
G.R.A.D.編,Глава G.R.A.D.,
Landing Point編,Глава Точки Посадки,
誕生日,День рождения,
オープニング,Вступление,
エンディング,Завершение,
なし,Нет,
イルミネーションスターズ,illuminationSTARS,
2nd Anniversary 当日スペシャルコミュ,2nd Anniversary Спецсюжет в день события,
1st Anniversary 当日スペシャルコミュ,1st Anniversary Спецсюжет в день события,
第$num話,Эпизод$1,exp
ホームボイス,Голос на главном экране,exp
ホームタッチボイス,Голос при касании на главном экране,exp
【$uk】$numお月見ボイス,【$1】$2 Голос к Цукими,exp
【$uk】$num七夕ボイス,【$1】$2 Голос к Танабате,exp
【$uk】$numハロウィンボイス,【$1】$2 Голос к Хэллоуину,exp
【$uk】$numホワイトデーボイス,【$1】$2 Голос к Белому дню,exp
【$numお月見】$uk,【$1 Цукими】$2,exp
【$num七夕】$uk,【$1 Танабата】$2,exp
【$numハロウィン】$uk,【$1 Хэллоуин】$2,exp
【$numホワイトデー】$uk,【$1 Белый день】$2,exp
プロデュースボイス,Голос продюсирования,exp
タッチボイス,Голос при касании,exp
信頼度Lv.$numボイス,Голос на уровне доверия $1,exp
オーディション前,Перед прослушиванием,exp
オーディション後,После прослушивания,exp
準決勝前コミュ,Сюжет перед полуфиналом,exp
敗退コミュ,Сюжет при выбывании,exp
準決勝後コミュ,Сюжет после полуфинала,exp
決勝前コミュ,Сюжет перед финалом,exp
決勝後コミュ,Сюжет после финала,exp
勝利,Победа,exp
敗北,Поражение,exp
アイドルロード,Путь айдола,exp
TV出演後コミュ,Сюжет после ТВ-выступления,exp
シーズン$num,Сезон$1,exp
クリア,Пройдено,exp
失敗,Неудача,exp
フェスアイドル育成研修:,Обучение по подготовке Fes-айдолов:,exp
#剧情标题：,,
#灯织↓,,
クールで真面目な女の子,Холодная и серьезная девушка,
とっておきのおまじない,Сокровенное заклинание,
アイドル失格,Недостойна быть айдолом,
少しずつ進みたい,Хочу продвигаться шаг за шагом,
ファンのため、自分のため,Для фанатов и для себя,
諦められない夢,Мечта、которую нельзя оставить,
夢の続きはどこまでも,Продолжение мечты бесконечно,
君のことを教えてほしい,Хочу узнать тебя,
支えていきたい,Хочу поддерживать тебя,
幸福に満ちる,Полна счастья,
かつて夢見た眩しい姿,Ослепительный образ из мечты,
歩む先には理想の自分,На пути — идеальное «я»,
備えあれば……？,Если быть готовым…?, 
『楽しむ』ということ,Что значит «наслаждаться»,
ご褒美はリポートの後で,Награда будет после репортажа,
無邪気な結晶,Кристалл невинности,
心のアルバムの隣に,Рядом с альбомом сердца,
真乃と過ごす休日,Выходной с Мано,
もっと仲良くなりたいっ,Хочу стать ближе,
#咲耶,,
煙突がなくても,Даже без дымохода,
なぞとき,Разгадка,
#日花↓,,
なみ,Нами,
そうだよ,Да、так и есть,
あたりますね,Попалась,
もっとあたりますね,Ещё одна попадалась,
あた,ля-ля-ля,
やばいいきもの笑,Жуткое существо (смех),
あいかt,Айка t,
