text,trans
#Produce开始,
（２８３プロダクションに入社して数か月……\nいよいよ俺が、アイドルをプロデュースする時が来た）,(Прошло уже несколько месяцев с тех пор、как я вступил в 283 Production…\nНаконец-то настал мой черёд продюсировать айдолов)
（ずっと憧れていた仕事をようやく任されたんだ、\nこれから精一杯頑張るぞ！）,(Мне наконец-то поручили работу моей мечты、\nТеперь я приложу все усилия!)
おはようございます！\nって、天井社長……？,Доброе утро!\nА… господин Тэндзё…?
おはよう、お前を待っていたぞ,Доброе утро、я тебя ждал
（この２８３プロダクションを束ねる\n天井社長……あいかわらずダンディな雰囲気だ）,(Президент Тэндзё、руководящий всей 283 Production…\nПо-прежнему выглядит элегантно)
お前には今日から、アイドルを\nプロデュースしてもらうと伝えていたが……,Как и было сказано、с сегодняшнего дня ты продюсируешь айдолов
素晴らしい結果を期待させてもらう\n私は甘くないぞ,Жду выдающихся результатов、я не из мягких
は、はい！　よろしくお願いします！,Д-да! Пожалуйста、поручите мне!
よろしい。では、仕事の説明ははづきに任せて……,Хорошо、а теперь пусть Хадзуки объяснит тебе суть работы……
？　はづきさんはどこにも……あっ！？,Хм? А где мисс Хадзуки…… а!?
（そ、ソファの裏で誰かが倒れてる！？）,(К-какой-то человек лежит за диваном!?)
……ふわぁ～？\nなんですか～急に大きな声出して～……,Уа-а……\nЧто такое~ почему так громко~……
は、はづき……なぜ床で寝ているんだ,Х-Хадзуки…… почему ты спишь на полу?
すみません、ソファへ着く前に\n眠気に負けてしまいまして～……,Простите…… Я не успела добраться до дивана、и меня сморило……
せっかくまじめな雰囲気を出したというのに……,Я ведь так старался создать серьёзную атмосферу……
……ともかく！\n彼に仕事の説明をしてくれ,……В любом случае!\nПожалуйста、объясни ему работу
はい、もちろんです\nプロデューサーさん、どうぞ～,Да、конечно~\nГосподин продюсер、вот
ありがとうございます\n……あいかわらず、わかりやすくまとまってますね、資料,Большое спасибо~\nКак всегда、всё четко и понятно оформлено
