text,trans,type
キーホルダー,Брелок,item
タオル,Полотенце,item
Tシャツ,Футболка,item
イルミネーションスターズ,illumination STARS,unit
放課後クライマックスガールズ,"Край Гёрлс после школы",unit
放課後クライマックスガールズ,"Край Гёрлс после школы",unit
アンティーカ,L'Antica,unit
アルストロメリア,ALSTROEMERIA,unit
ストレイライト,Straylight,unit
ノクチル,noctchill,unit
シーズ,SHHis,unit
イルミネ,illumine,unit
放クラ,После школы,unit
283プロ,283Pro,unit
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
スキル,Skill,noun
メンタル,Mental,noun
ボーカル,Vocal,noun
ダンス,Dance,noun
ビジュアル,Visual,noun
親愛度,Привязанность,noun
SP,SP,noun
極小アップ,Небольшое увеличение,up
小アップ,Малое увеличение,up
中アップ,Среднее увеличение,up
大アップ,Большое увеличение,up
小回復,Малое восстановление,restore
中回復,Среднее восстановление,restore
大回復,Большое восстановление,restore
プロデュース,Produce,note
サポート,Support,note
（$note）,($1),
イベント第$num話,Эпизод события $1,
第$num話,Глава $1,
イベントED,Завершающая глава,
$unitの$item,$2 $1,
$unit$sepの$sep$item,$2 $1,
【$uk】$name,[$1] $2,
【$uk】\n$name,[$1]\n$2,
$unitに所属しているサポートアイドルの絆が$upします,Уровень Support-айдолов из $1 увеличивается на $2,
ヒーリングフルーツタルト,Целебный фруктовый пирог,
使用時プロデュースアイドルの体力が$restoreします,При использовании восстанавливает Produce идола на $1,
流行雑誌,Популярные журналы,
予定変更付箋,Стикер изменения расписания,
プロデュース中の約束発生率を$upします,Вероятность выполнения обещаний в процессе Produce увеличивается на $1,
リカバリーソーダ,Восстанавливающая сода,
使用時プロデュースアイドルのテンションが$upします,При использовании настроение Produce-айдола увеличивается на $1,
テンションアロマ,Арома для настроения,
トラブル守り,Амулет от неудач,
親愛のお守り,Амулет привязанности,
$noun基礎知識本,Книга базовых знаний по $1,
プロデュース開始時に$noun$numします,При начале Produce $1 увеличивается на $2,
SSR特訓はづきさん,SSR Хадзуки для пробуждения,
SR特訓はづきさん,SR Хадзуки для пробуждения,
プチセレクションチケット,Малый билет выбора,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が$upします,В начале Produce связь всех Support-айдолов в юните увеличивается на $1,
$ukアニバーサリーケーキ,Юбилейный торт $1,
プロデュース開始時に$unitに所属しているサポートアイドルの絆が$upします,В начале Produce связь Support-айдолов из $1 увеличивается на $2,
ヒーリングタルト,Лечащий тарт,
ヒーリングフルーツタルト,Фруктовый лечебный тарт,
高級ヒーリングフルーツタルト,Премиальный фруктовый лечебный тарт,
高級ヒーリングフルーツ\nタルト,Премиальный фруктовый лечебный тарт,
プチテンションアロマ,Мини-арома для настроения,
$noun応用知識本,Книга прикладных знаний по $1,
$noun実践知識本,Книга практических знаний по $1,
プロデュース中、シーズン１に限り朝コミュ発生率を$upします,В процессе Produce，только в сезоне 1 вероятность утренних диалогов увеличивается на $1,
プロデュース開始時に編成している全サポートアイドルの絆が$upします,В начале Produce связь всех Support-айдолов из состава увеличивается на $1,
プロデュース開始時に編成している全サポートアイドルの絆が$upし、,В начале Produce связь всех Support-айдолов из состава увеличивается на $1，,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が$upし、,В начале Produce связь всех Support-айдолов，входящих в юнит，увеличивается на $1
$noun流行雑誌,Журнал моды: $1,
使用時流行1位を$nounに変更し、2位3位はランダムで変更します,При использовании первое место в моде меняется на $1，а второе и третье — случайным образом,
プロデュース中の失敗＆大失敗で発生するデメリットを$num回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,Во время Produce негативные эффекты от неудач и крупных неудач будут аннулированы $1 раз(а)【Арка "Фестиваль благодарности фанатам": идея засчитывается даже при неудаче】,
限定$unit入り10連ガシャチケット,Билет на 10 вытягиваний с ограниченными персонажами из $1,
SSR$percentガシャチケット,Билет на вытягивание SSR с шансом $1%,
SSR$percentガシャが引けるチケットです,Билет на гашу с шансом получить SSR в $1%,
[お1人様$num個まで],[До $1 шт. на одного человека],
[月$num個まで],[До $1 шт. в месяц],
[月$num個まで購入可能],[Можно купить до $1 шт. в месяц],
[毎日$num個まで購入可能],[Можно купить до $1 шт. в день],
$num個入り,Упаковка из $1 шт.,
$num冊入り,Набор из $1 тома(ов),
プロデュース中$num回まで使用可能,Можно использовать до $1 раз(а) во время Produce,
プロデュース中$num回まで使用可能,Можно использовать до $1 раз(а) во время Produce,
効果量は約束発生毎に減少し$num回で効果がなくなる,Эффект ослабевает при каждом выполнении обещания и полностью исчезает после $1 раз(а),
$num年$num月$num日$sepピックアップ$num倍$num連ガシャチケット,Билет на $5 вытягиваний PickUp x$4 от $3.$2.$1,
$num年$num月$num日$sep通常ピックアップ$num連ガシャチケット,Обычный билет PickUp на $4 вытягивания от $3.$2.$1,
$name・$nameガシャ$sepピックアップ$num倍$num連パッケージ,Пакет PickUp x$3: $1 и $2，$4 вытягивания,
$name・$nameガシャ$sep通常ピックアップ$num連パッケージ,Обычный PickUp-пакет: $1 и $2，$3 вытягивания,
$num年$num月$num日$sep限定入りSSR確定ガシャチケット,Билет на гашу с гарантией SSR (включая ограниченные) от $3.$2.$1,
$num年$num月$num日$sepSSRアイドル確定ガシャチケット,Билет на гашу с гарантией SSR айдола от $3.$2.$1,
$num年$num月$num日$sep$num連ガシャチケット,Билет на $4 вытягиваний от $3.$2.$1,
すでに所持している背景:$ukの代替アイテムです,Замена за уже полученный фон: $1,
使用時流行全てをランダムで変更します,При использовании все тренды меняются случайным образом,
使用時サポートアイドルの配置をランダムで変更します,При использовании распределение Support-айдолов меняется случайным образом,
フェザージュエル×$num,Перо-драгоценность x$1,
SSR確定Plusガシャチケット,Билет на гашу с гарантией SSR Plus,
限定SSR確定Plusガシャチケット,Билет на гашу с гарантией ограниченного SSR Plus,
SR以上確定ガシャチケット,Билет на гашу с гарантией SR или выше,
イベントミッションを$num個達成した報酬です,Награда за выполнение $1 заданий события,
フェスグレードLv$numの報酬です,Награда за уровень Fes Grade $1,
スタンプカードによる報酬です,Награда за штамповую карту (через гашу),text
大成功ボーナスの余剰Exp分です,Избыточный Exp от бонуса за большой успех,text
エンディング,Финал,text
Lv.50チケット,Тренировочный билет Lv.50,text
アイドルピース交換チケット,Билет на обмен осколков айдола,text
